,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name,isExplicit,albumName,albumTotalTracks,totalArtists,popularity,isKPop
0,0.645,0.862,11,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4,BTS,2019-04-12,Boy With Luv (feat. Halsey),False,MAP OF THE SOUL : PERSONA,7,2,91,True
1,0.735,0.74,0,0.0519,0.0967,0.0,0.101,0.541,141.948,187458,4,BTS,2019-06-07,Dream Glow (BTS World Original Soundtrack) - Pt. 1,False,Dream Glow (BTS World Original Soundtrack) [Pt. 1],1,2,84,True
2,0.804,0.498,8,0.0571,0.339,0.000236,0.18,0.704,105.008,205020,4,BTS,2019-06-14,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],False,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],1,2,81,True
3,0.58,0.858,8,0.114,0.125,0.0,0.0502,0.475,174.039,224225,3,BTS,2019-04-12,Mikrokosmos,False,MAP OF THE SOUL : PERSONA,7,1,80,True
4,0.638,0.703,7,0.444,0.0104,0.0,0.132,0.261,105.766,226321,4,BTS,2019-04-12,Make It Right,False,MAP OF THE SOUL : PERSONA,7,1,80,True
5,0.633,0.799,7,0.0429,0.0142,0.0,0.194,0.535,142.991,234178,4,BTS,2019-04-12,HOME,False,MAP OF THE SOUL : PERSONA,7,1,79,True
6,0.502,0.91,7,0.107,0.04,0.0,0.319,0.588,176.084,249215,4,BTS,2019-04-12,Dionysus,False,MAP OF THE SOUL : PERSONA,7,1,79,True
7,0.725,0.706,5,0.121,0.193,0.0,0.109,0.667,120.042,216874,4,BTS,2019-06-21,All Night (BTS World Original Soundtrack) [Pt. 3],False,All Night (BTS World Original Soundtrack) [Pt. 3],1,2,78,True
8,0.557,0.719,2,0.0372,0.00267,0.0,0.306,0.344,77.501,242334,4,BTS,2018-05-18,FAKE LOVE,False,Love Yourself 轉 'Tear',11,1,77,True
9,0.608,0.47,8,0.0428,0.226,0.0,0.0963,0.241,81.0,227275,4,BTS,2019-04-12,Jamais Vu,False,MAP OF THE SOUL : PERSONA,7,1,77,True
10,0.738,0.861,2,0.237,0.32,0.00175,0.325,0.58,131.974,189052,4,BLACKPINK,2019-04-05,Kill This Love,False,KILL THIS LOVE,5,1,83,True
11,0.678,0.729,8,0.137,0.0658,0.0,0.303,0.643,99.895,189173,4,BLACKPINK,2018-10-19,Kiss and Make Up,False,Dua Lipa (Complete Edition),25,2,81,True
12,0.671,0.859,4,0.0833,0.0323,0.0,0.267,0.389,139.931,209355,4,BLACKPINK,2018-06-15,DDU-DU DDU-DU,False,SQUARE UP,4,1,77,True
13,0.786,0.853,8,0.0816,0.0688,0.0,0.0759,0.45,125.034,213264,4,BLACKPINK,2017-06-22,As If It's Your Last,False,As If It's Your Last,1,1,77,True
14,0.658,0.836,5,0.0549,0.00264,1.02e-06,0.507,0.387,124.969,240849,4,BLACKPINK,2016-08-08,BOOMBAYAH,False,SQUARE ONE,2,1,76,True
15,0.628,0.64,6,0.049,0.0992,0.0,0.138,0.409,129.815,201081,4,BLACKPINK,2019-04-05,Don't Know What To Do,False,KILL THIS LOVE,5,1,74,True
16,0.707,0.758,4,0.0917,0.0399,0.0,0.141,0.674,97.037,197355,4,BLACKPINK,2016-11-01,PLAYING WITH FIRE,False,SQUARE TWO,3,1,74,True
17,0.822,0.712,11,0.15,0.00682,0.0,0.0955,0.647,102.874,211696,4,BLACKPINK,2016-08-08,WHISTLE,False,SQUARE ONE,2,1,73,True
18,0.6,0.96,4,0.095,0.0426,0.0,0.0882,0.503,109.863,237077,4,BLACKPINK,2018-06-15,Forever Young,False,SQUARE UP,4,1,71,True
19,0.764,0.787,1,0.0445,0.0153,0.0,0.0736,0.381,124.949,191226,4,BLACKPINK,2019-04-05,Kick It,False,KILL THIS LOVE,5,1,69,True
20,0.699,0.866,5,0.0446,0.0132,0.0,0.648,0.795,132.023,213886,4,Twice,2019-04-22,FANCY,False,FANCY YOU,6,1,81,True
21,0.573,0.91,8,0.064,0.0846,0.0,0.266,0.602,169.982,208238,4,Twice,2018-07-09,What is Love?,False,Summer Nights,9,1,72,True
22,0.702,0.913,11,0.0374,0.0514,3.71e-06,0.166,0.735,137.982,237685,4,Twice,2018-11-05,YES or YES,False,YES or YES,7,1,72,True
23,0.868,0.728,6,0.11,0.0439,0.0,0.0975,0.616,112.006,217651,4,Twice,2019-06-12,Breakthrough,False,Breakthrough,1,1,70,True
24,0.711,0.861,0,0.0924,0.106,4.4e-05,0.112,0.78,118.004,180809,4,Twice,2018-07-09,Dance The Night Away,False,Summer Nights,9,1,69,True
